time,temperature_2m_mean,temperature_2m_mean_lower,temperature_2m_mean_upper,precipitation_sum,precipitation_sum_lower,precipitation_sum_upper,soil_moisture_0_7cm_mean,soil_moisture_0_7cm_mean_lower,soil_moisture_0_7cm_mean_upper,soil_temperature_0_7cm_mean,soil_temperature_0_7cm_mean_lower,soil_temperature_0_7cm_mean_upper
2016-01-01,24.68017361367415,24.284779541326817,25.075567686021483,302.63036513198824,215.230923274247,390.0298069897295,0.4723577752500634,0.4499491068620669,0.4947664436380599,25.683394994737057,25.004864691120407,26.361925298353707
2016-02-01,24.575619591930053,24.123243995692235,25.02799518816787,381.55910166365356,294.09586899849205,469.0223343288151,0.4816185700227138,0.45802023890142324,0.5052169011440043,25.704187384601926,24.956724143208184,26.45165062599567
2016-03-01,25.00160649184141,24.502328290678363,25.50088469300446,352.2638784900237,264.7339272347794,439.79382974526806,0.4847962091720258,0.46090442467355675,0.5086879936704949,26.368538989823787,25.590557002009426,27.146520977638147
2016-04-01,25.076055591632667,24.553309884259434,25.5988012990059,306.64967427655984,219.05305376061227,394.2462947925074,0.48151136672019257,0.4576174992772334,0.5054052341631518,26.375210005488647,25.570412376483223,27.18000763449407
2016-05-01,25.09487103135939,24.55697865933599,25.63276340338279,241.10345352021812,153.44021444651557,328.76669259392065,0.47851678702595546,0.45462290470681355,0.5024106693450974,26.074070190056776,25.259433712088402,26.88870666802515
2016-06-01,24.941374403805998,24.393522476101364,25.489226331510633,153.14356911233915,65.41376206837391,240.8733761563044,0.4621892192707879,0.4382953368453971,0.48608310169617863,25.822031545993514,24.996629530234582,26.647433561752447
2016-07-01,24.566191679029743,24.011696824010105,25.12068653404938,174.7796380670748,86.98331352527198,262.57596260887766,0.468066237611444,0.4441723551852944,0.4919601200375936,25.471154158417082,24.64260952915626,26.299698787677904
2016-08-01,24.958822452681186,24.399842177946883,25.51780272741549,184.79395388367467,96.93116220182684,272.6567455655225,0.4528726909763987,0.4289788085502437,0.47676657340255374,26.02156342087652,25.18839317893716,26.85473366281588
2016-09-01,24.886318002966316,24.32427372653902,25.448362279393614,273.01457439875423,185.08536582045514,360.94378297705333,0.484962865832841,0.4610689834066869,0.5088567482589951,26.354798597542597,25.520691165841654,27.18890602924354
2016-10-01,24.881890494076618,24.317728424804034,25.446052563349202,394.9691258685644,306.9735505236399,482.96470121348887,0.4889140981946852,0.4650202157686622,0.5128079806207082,26.07040874862113,25.23417658358162,26.90664091366064
2016-11-01,24.91875463866751,24.353110511400924,25.4843987659341,398.55627381701953,310.494381721943,486.61816591209606,0.4839721185908574,0.46007823618319205,0.5078660009985227,26.48912774121141,25.652654751740023,27.325600730682794
2016-12-01,24.85330114317499,24.28660592749972,25.419996358850256,305.571436453095,217.44327791599002,393.6995949901999,0.4639603957820771,0.44006651344650954,0.48785427811764465,26.415117823663802,25.577593106533968,27.252642540793637
2017-01-01,25.318651990836507,24.750906026040553,25.88639795563246,240.25695571212756,151.9813003554326,328.5326110688225,0.39666905424772486,0.3726371097033564,0.42070099879209333,26.287928913510694,25.415386711678757,27.16047111534263
2017-02-01,24.911029980112666,24.34259701265707,25.479462947568262,323.817238277561,235.47549596961505,412.1589805855069,0.43228120157454786,0.40823425646075895,0.45632814668833677,25.930164684305247,25.046477159203008,26.813852209407486
2017-03-01,25.672556680133763,25.103597601449795,26.24151575881773,244.48232456288807,156.07198043218503,332.8926686935911,0.40416643953535436,0.38011567645287453,0.4282172026178342,26.910872060747945,26.02382419332005,27.79791992817584
2017-04-01,25.784214830309978,25.21488302834073,26.353546632279226,226.7506978905551,138.27180330564204,315.22959247546817,0.41598357598907154,0.39193278564002215,0.44003436633812093,27.127127386318094,26.234972869759645,28.019281902876543
2017-05-01,25.795256442055038,25.22561612406457,26.364896760045507,111.56503747214282,23.01764550243115,200.1124294418545,0.41680163515412033,0.3927508446103274,0.4408524256979133,26.781633315787193,25.88847724922113,27.674789382353257
2017-06-01,25.601929367949122,25.032046064877196,26.171812671021048,81.01536377427269,-7.600472633828858,169.63120018237424,0.40182520367681585,0.377774413131632,0.4258759942219997,26.491863483775603,25.596335681777887,27.38739128577332
2017-07-01,26.0042658162498,25.434188091171805,26.574343541327792,56.89017710616312,-31.794050916507373,145.57440512883363,0.34954239414634314,0.32549160360114937,0.3735931846915369,27.034956267243132,26.13917146159548,27.930741072890783
2017-08-01,27.20112458935423,26.630888821631803,27.771360357076656,24.47701527094921,-64.2755516645859,113.22958220648432,0.2630464513200209,0.23899566077482706,0.2870972418652148,28.575481594565677,27.67850693665553,29.472456252475823
2017-09-01,27.079688177163508,26.509321896744915,27.6500544575821,81.84192909415728,-6.978924174184414,170.66278236249897,0.29209396943711813,0.26804317889192525,0.316144759982311,28.81019523881261,27.913175190601173,29.70721528702405
2017-10-01,25.944895937437632,25.374420172884722,26.515371701990542,234.86461686144477,145.9755297191754,323.7537040037141,0.40474754314628536,0.38069675260123137,0.42879833369133935,27.272807151967857,26.375137576558995,28.17047672737672
2017-11-01,25.847623569539962,25.277054519613763,26.41819261946616,251.59711579053328,162.6398471124873,340.55438446857926,0.38114957945965966,0.35709878893404634,0.405200369985273,27.407423111959343,26.50975456243987,28.305091661478816
2017-12-01,25.72720907415811,25.156559311301276,26.297858837014946,223.55832727375133,134.5329296679374,312.58372487956524,0.3816732074249794,0.3576224169757175,0.4057239978742413,27.301108040499876,26.40305274071363,28.199163340286123
2018-01-01,25.43326682936457,24.86243216348401,26.00410149524513,256.6882023432839,167.5130004185366,345.86340426803116,0.3786770571719552,0.3545490633971428,0.4028050509467676,26.44001683418133,25.488935369994866,27.39109829836779
2018-02-01,25.030513805338913,24.45956230580093,25.601465304876896,283.4325855911346,194.18902888896667,372.6761422933026,0.43457864603875046,0.4104422521602618,0.4587150399172391,26.190930038279173,25.225330269965017,27.15652980659333
2018-03-01,25.528017752459053,24.956955906991354,26.099079597926753,222.949342808822,133.6353218491236,312.2633637685204,0.41441165839393207,0.390273126137825,0.43855019065003914,26.685468117793278,25.715059524667684,27.65587671091887
2018-04-01,25.548907887838876,24.977768825413172,26.12004695026458,202.30632045487886,112.92188863776872,291.690752271989,0.43714988165914376,0.4130113341309679,0.4612884291873196,26.854166831099892,25.877146426353555,27.83118723584623
2018-05-01,25.909820586280613,25.338586083239004,26.481055089322222,75.12987270789182,-14.324914545550527,164.58465996133418,0.4111426310194754,0.3870040833822232,0.4352811786567276,26.856281564277268,25.877769399242034,27.8347937293125
2018-06-01,25.827993058334815,25.256672637354846,26.399313479314785,95.7728108498224,6.247723450536824,185.297898249108,0.39420553412846704,0.3700669864904358,0.4183440817664983,26.754591822243416,25.773047923811518,27.736135720675314
2018-07-01,26.599800224859003,26.028402389114333,27.171198060603672,4.61773502544321,-84.97759735934532,94.21306741023174,0.30751094670113444,0.28337239906309764,0.33164949433917124,27.7228189258529,26.740860020463977,28.70477783124182
2018-08-01,27.299879888303728,26.72841203860768,27.871347737999777,37.12094426708836,-52.54457807250317,126.7864666066799,0.25872565473226405,0.2345871070942272,0.2828642023703009,28.789609188593875,27.806149933162448,29.773068444025302
2018-09-01,27.111593457502323,26.540061921600508,27.68312499340414,61.03080449483653,-28.704852897990676,150.76646188766375,0.29543950359231985,0.271300955954284,0.3195780512303557,29.116247691422124,28.132698615363353,30.099796767480896
2018-10-01,26.77702422625581,26.205434345441017,27.348614107070606,203.27169687250887,113.46595919938484,293.0774345456329,0.35163115198347455,0.3274926043455773,0.3757696996213718,28.28855264480485,27.30419589040043,29.27290939920927
2018-11-01,25.67491887052095,25.103275110797302,26.2465626302446,326.50837655854934,236.6326132499267,416.384139867172,0.41457229350304065,0.390433745884553,0.4387108411215283,27.419974525243898,26.43561176700854,28.404337283479254
2018-12-01,25.64410304990491,25.072409118759012,26.215796981050808,243.67293629891168,153.72720224780846,333.6186703500149,0.39842424068134963,0.37428569313909105,0.4225627882236082,27.338194641628654,26.35335726549038,28.323032017766927
2019-01-01,24.967037623836486,24.39519535448454,25.538879893188433,320.3456228202298,230.24782758415694,410.4434180563026,0.42436841974409695,0.40015460327106783,0.44858223621712606,25.993548374719225,24.93037961570459,27.05671713373386
2019-02-01,24.99750062724107,24.425565762334042,25.5694354921481,256.7785550026125,166.6101661673394,346.9469438378856,0.446838502295979,0.4226164957744696,0.4710605088174884,26.24878582841096,25.165120347499915,27.332451309322003
2019-03-01,25.44977606906891,24.877749541922736,26.021802596215085,276.2895488590948,186.04885471756037,366.5302430006292,0.4149917923625329,0.39076770092328533,0.4392158838017805,26.641679448344163,25.5508418879405,27.732517008747827
2019-04-01,25.516085591108254,24.943995966569588,26.08817521564692,290.1366657359291,199.82372170754792,380.4496097643103,0.44244041817079954,0.4182163118412691,0.46666452450032997,26.923650531009756,25.82357744522517,28.023723616794342
2019-05-01,25.859922237462285,25.287746357821955,26.432098117102615,144.99626223802687,54.61112607606729,235.38139839998644,0.4255768326429149,0.40135272620703494,0.44980093907879487,26.96993902319759,25.867592381546544,28.072285664848636
2019-06-01,26.17999678653728,25.607741918689012,26.75225165438555,38.099302896808894,-52.357967783653905,128.5565735772717,0.36818260118157053,0.343958494744931,0.39240670761821006,27.208244086733632,26.10170601480074,28.314782158666524
2019-07-01,26.70797658720774,26.135649531282528,27.28030364313295,-7.823429516330663,-98.35277723794502,82.7059182052837,0.297676153046037,0.27345204660939204,0.32190025948268197,27.805537790273583,26.698338585523278,28.912736995023888
2019-08-01,27.12114551099617,26.5487523698447,27.693538652147637,16.781696400257204,-73.81967102233448,107.38306382284888,0.2705059772404401,0.24628187080379513,0.2947300836770851,28.455615994003722,27.346364405206895,29.56486758280055
2019-09-01,27.47376619139903,26.901312294972048,28.04622008782601,25.000735865165467,-65.67259405486105,115.67406578519198,0.26942955670782587,0.24520545027118187,0.2936536631444699,29.281282744095655,28.171872737955216,30.390692750236095
2019-10-01,27.136930391459714,26.564420308066502,27.709440474852926,135.00019007464357,44.2549547246345,225.74542542465264,0.32448682828319103,0.3002627218466852,0.3487109347196969,28.654703426684456,27.54420054351155,29.765206309857362
2019-11-01,26.8210415376032,26.24847913033963,27.393603944866772,206.2627460996112,115.4456622515067,297.0798299477157,0.3476375724941603,0.3234134660769967,0.3718616789113238,28.754614327545077,27.64409255581893,29.865136099271226
2019-12-01,25.231468674251076,24.65885717756355,25.8040801709386,343.8966698142631,253.00779462671935,434.7855450018068,0.4445081248989283,0.4202840185577297,0.468732231240127,26.98313640140513,25.871979150670786,28.094293652139473
2020-01-01,24.675862235801276,24.103102879595617,25.248621592006934,355.6365475297449,264.59340460695375,446.6796904525361,0.44965959504490033,0.42536053800275614,0.4739586520870445,25.664711963491907,24.50784310007143,26.821580826912385
2020-02-01,24.86693539873829,24.29408367302201,25.43978712445457,407.2356112525407,316.1196654952169,498.3515570098645,0.44409485808185417,0.4197876455092602,0.46840207065444817,26.029062686768658,24.85853559787855,27.199589775658765
2020-03-01,25.275582078617163,24.702638473907427,25.848525683326898,368.4797929676521,277.28972274540075,459.6698631899034,0.4366516768184072,0.41234238811184026,0.4609609655249742,26.50975668593626,25.334951771716728,27.684561600155792
2020-04-01,25.410865391254866,24.837858698779627,25.983872083730105,299.0476723976194,207.78353513250266,390.31180966273615,0.4477826245823372,0.4234733210482153,0.4720919281164591,26.746591130371602,25.565419973777495,27.92776228696571
2020-05-01,25.442327190396696,24.86923261672687,26.015421764066524,210.59096331220178,119.25281906583565,301.9291075585679,0.44472581291802404,0.4204165092780006,0.46903511655804747,26.397117304150342,25.214613800554183,27.5796208077465
2020-06-01,25.481332814716115,24.908157772354485,26.054507857077745,137.35133640697376,45.93924509518939,228.76342771875812,0.4289235071404154,0.40461420349963556,0.4532328107811952,26.48231460639971,25.296803237075,27.667825975724423
2020-07-01,25.674860040189756,25.10161145329896,26.24810862708055,85.07251995362887,-6.4134586530291955,176.55849856028692,0.3798138487255633,0.3555045450847781,0.4041231523663485,26.67643532486001,25.490553246584106,27.86231740313591
2020-08-01,26.237588546455886,25.664272622292685,26.810904470619086,87.671284274258,-3.888522001431838,179.23109054994785,0.3429969990586746,0.3186876954178893,0.36730630269945985,27.515109392351544,26.327686585184754,28.702532199518334
2020-09-01,26.241889549762377,25.668511705392397,26.815267394132356,137.94705516180738,46.31348069880919,229.58062962480557,0.37096005290574663,0.34665074926496237,0.3952693565465309,28.0327966780572,26.845296784911152,29.220296571203246
2020-10-01,25.904449258338314,25.331014134275684,26.477884382400944,287.4848933686343,195.77761005651197,379.1921766807566,0.41159234476901035,0.38728304112836376,0.43590164840965695,27.24236199545737,26.05400099759134,28.430722993323396
2020-11-01,25.688208818204735,25.114720337087718,26.261697299321753,276.38510574754406,184.60417278150527,368.16603871358285,0.41291590201486666,0.3886065983934946,0.43722520563623873,27.355216170744058,26.166856423918908,28.543575917569207
