,temperature_2m_mean,temperature_2m_mean_lower,temperature_2m_mean_upper,precipitation_sum,precipitation_sum_lower,precipitation_sum_upper,soil_moisture_0_7cm_mean,soil_moisture_0_7cm_mean_lower,soil_moisture_0_7cm_mean_upper,soil_temperature_0_7cm_mean,soil_temperature_0_7cm_mean_lower,soil_temperature_0_7cm_mean_upper
2026-01-01,24.947553309023018,24.547977130038365,25.34712948800767,356.7961506993108,269.1071979351775,444.48510346344403,0.49680375637337715,0.46898408269888403,0.5246234300478703,25.861890579081074,25.164167080719686,26.55961407744246
2026-02-01,24.99606510898534,24.53650950605455,25.455620711916133,340.4410644590981,252.69722145928066,428.1849074589155,0.49649725508851617,0.464899570148958,0.5280949400280743,25.750144242496784,24.97621713185869,26.52407135313488
2026-03-01,25.31039004734597,24.802270119791785,25.818509974900152,329.3572448635975,241.55691398779686,417.1575757393981,0.4930334834990493,0.459451587946333,0.5266153790517656,26.09394997470284,25.279417755394746,26.908482194010936
2026-04-01,25.533473811369237,25.000965594782304,26.06598202795617,289.2318203490798,201.37503708829715,377.0886036098624,0.48255681161944025,0.44820650224984504,0.5169071209890355,26.52107077450021,25.67073561343154,27.37140593556888
2026-05-01,25.62155105671988,25.072991526445353,26.170110586994408,214.1760441912741,126.26284479567875,302.08924358686943,0.44264074758836314,0.4079851177277763,0.47729637744895,27.26032160746765,26.39503192659834,28.12561128833696
2026-06-01,25.476121829354565,24.91683070406161,26.03541295464752,149.70669003016954,61.73711068021896,237.67626938012012,0.403171281575556,0.3683931778419559,0.43794938530915606,26.970970473426757,26.090056975606082,27.85188397124743
2026-07-01,25.43453612385383,24.867989824726557,26.001082422981106,137.77300568182403,49.74708248845553,225.79892887519253,0.38131842037404184,0.34649100586337656,0.41614583488470713,27.302450762450395,26.415915330138876,28.188986194761913
2026-08-01,25.777427735745103,25.20593433062545,26.348921140864757,150.09976232152655,62.01753132637987,238.18199331667324,0.36661601856303355,0.33176872105374045,0.40146331607232666,28.071771090730078,27.178020243266886,28.96552193819327
2026-09-01,26.01322581008881,25.4383345240575,26.58811709612012,188.15301394983476,100.01451112547338,276.2915167741961,0.3915188444169063,0.35666352496541803,0.4263741638683946,28.216630441506954,27.320814392589252,29.112446490424656
2026-10-01,26.01428038006988,25.43703960061303,26.59152115952673,267.2295665534107,179.0348278035421,355.42430530327925,0.42045795610105213,0.3855993993646127,0.4553165128374916,28.45385767434408,27.55454850310927,29.353166845578887
2026-11-01,25.56063072025201,24.98175460531618,26.13950683518784,332.62116275865816,244.37022391834626,420.87210159897006,0.4723083608829354,0.4374484976021048,0.507168224163766,27.407665470397905,26.507639751662513,28.307691189133298
2026-12-01,25.183371825348353,24.60334968780229,25.763393962894416,333.49672215475715,245.18961923448143,421.8038250750329,0.4902694535734096,0.4554090629603761,0.5251298441864432,26.780405077214724,25.878603209211608,27.68220694521784
2027-01-01,24.814711179217557,24.233356166827697,25.396066191607417,357.5698210043588,269.12374459422836,446.01589741448925,0.5088668813463418,0.4736079851791313,0.5441257775135524,26.1383179367669,25.20090053314321,27.07573534039059
2027-02-01,24.857867623637922,24.27569738549035,25.440037861785495,341.2147347641461,252.71172053125844,429.71774899703377,0.5053444013436423,0.4699698081870512,0.5407189945002335,26.103063034960027,25.15296549697931,27.053160572940744
2027-03-01,25.211160037774295,24.6283792765295,25.79394079901909,330.1309151686456,241.56957664122302,418.6922536960681,0.49878561664243076,0.4633451230592096,0.5342261102256519,26.30165344799815,25.346713197147412,27.256593698848885
2027-04-01,25.454486152419012,24.871289552577434,26.03768275226059,290.0054906541278,201.38586521667543,378.6251160915802,0.4872068449006451,0.4517397873415044,0.5226739024597858,26.80294900092794,25.841239553357784,27.764658448498093
2027-05-01,25.55920386695059,24.97569180025474,26.14271593364644,214.94971449632212,126.27184046008536,303.6275885325589,0.4473697131573483,0.41189193950821484,0.48284748680648176,27.441787407296683,26.47831845011853,28.405256364474837
2027-06-01,25.42745198943975,24.843707446115527,26.01119653276397,150.48036033521757,61.7442759360344,239.21644473440074,0.40806812417611144,0.3725860262267551,0.4435502221254678,26.978729306484123,26.01191929981672,27.945539313151524
2027-07-01,25.397109787649924,24.813192255502667,25.98102731979718,138.54667598687206,49.752419385381984,227.34093258836214,0.386037282458765,0.3505534392891744,0.42152112562835564,27.44735767724739,26.479949404450235,28.414765950044544
2027-08-01,25.74924284174852,25.16519533192806,26.333290351568976,150.87343262657458,62.02104190846511,239.72582334468404,0.371080792134219,0.3355962445849855,0.40656533968345254,28.06074024975614,27.091594641076167,29.029885858436113
2027-09-01,25.992638185497743,25.408492080265496,26.57678429072999,188.9266842548828,100.01619743113444,277.8371710786311,0.39540068913671017,0.3599158572904661,0.43088552098295424,28.240239850739147,27.270914935672245,29.20956476580605
2027-10-01,25.999938036893237,25.41571645071671,26.584159623069763,268.0032368584587,179.03469186558888,356.9717818513285,0.4240061650626873,0.38852121846942783,0.45949111165594675,28.452765823582997,27.482484034750556,29.423047612415438
2027-11-01,25.55142031040139,24.967140432715343,26.135700188087437,333.3948330637062,244.36826776400488,422.4213983634075,0.4730261195150087,0.4375411266077846,0.5085111124222328,27.168843655376467,26.19852148523243,28.139165825520504
2027-12-01,25.178381807633055,24.594056545473073,25.762707069793038,334.27039245980524,245.18584487785017,423.3549400417603,0.4912130072381567,0.455727995637756,0.5266980188385574,26.595183371715866,25.624300567088248,27.566066176343483
2028-01-01,24.813189111096584,24.22865321198278,25.397725010210387,358.34349130940683,269.117548814584,447.5694338042297,0.50934863994968,0.47359307488016095,0.5451042050191992,26.057583323939312,25.034008000294044,27.08115864758458
2028-02-01,24.85919658506853,24.274554659100566,25.443838511036496,341.98840506919413,252.70348624751443,431.2733238908738,0.5056921046988934,0.46985830004239515,0.5415259093553916,25.95826341601141,24.918946024947935,26.997580807074883
2028-03-01,25.214832426269854,24.630096823285516,25.799568029254193,330.9045854736936,241.5595118048837,420.2496591425035,0.4990111414597483,0.46313242888266326,0.5348898540368333,26.29373282044933,25.2478878512011,27.339577789697557
