time,temperature_2m_mean,precipitation_sum,soil_moisture_0_7cm_mean,soil_temperature_0_7cm_mean,relative_humidity_2m_mean,sunshine_duration,cloud_cover_mean,precipitation_hours
1940-01-01,23.08,350.6,0.49266666666666664,24.279999999999998,89.16666666666667,733343.61,96.36666666666666,439.0
1940-02-01,23.49655172413793,169.2,0.4878620689655172,24.71379310344828,87.34482758620689,1013801.51,88.89655172413794,293.0
1940-03-01,24.33225806451613,129.2,0.451,25.84193548387097,85.29032258064517,1270174.02,75.70967741935483,205.0
1940-04-01,24.459999999999997,158.5,0.44329999999999997,26.05666666666667,86.03333333333333,1167446.56,66.86666666666666,270.0
1940-05-01,23.961290322580645,230.5,0.48567741935483866,25.34193548387097,88.96774193548387,957003.79,87.93548387096774,339.0
1940-06-01,24.046666666666667,72.4,0.44166666666666665,25.240000000000002,86.7,1132845.86,67.46666666666667,202.0
1940-07-01,24.306451612903224,44.4,0.32503225806451613,25.61935483870968,78.19354838709677,1259978.7,60.87096774193548,143.0
1940-08-01,24.874193548387098,35.4,0.32306451612903225,26.567741935483873,74.48387096774194,1291873.57,54.903225806451616,140.0
1940-09-01,25.45,112.6,0.3431,27.726666666666667,72.76666666666667,1237050.73,71.36666666666666,197.0
1940-10-01,26.274193548387096,40.0,0.3160322580645161,28.483870967741936,68.7741935483871,1299828.1,65.61290322580645,115.0
1940-11-01,25.663333333333334,165.7,0.3938666666666667,27.983333333333334,75.66666666666667,1240010.67,65.0,207.0
1940-12-01,24.164516129032258,283.3,0.48512903225806453,26.016129032258064,86.45161290322581,1168209.46,84.45161290322581,304.0
1941-01-01,23.97741935483871,323.0,0.49464516129032254,25.47741935483871,87.70967741935483,983346.32,95.64516129032258,406.0
1941-02-01,24.092857142857145,325.6,0.4946428571428571,25.625,88.75,851291.1,94.46428571428571,307.0
1941-03-01,24.451612903225808,153.5,0.4648709677419355,25.88064516129032,86.06451612903226,1182000.31,81.38709677419355,234.0
1941-04-01,24.293333333333333,219.1,0.4807666666666667,25.956666666666667,88.9,1042906.05,82.8,305.0
1941-05-01,23.932258064516127,185.20000000000002,0.4865161290322581,25.44193548387097,89.51612903225806,1080693.75,82.51612903225806,263.0
1941-06-01,23.933333333333334,78.7,0.4219666666666667,25.23,84.53333333333333,1196228.71,67.46666666666667,192.0
1941-07-01,24.161290322580644,40.1,0.36106451612903223,25.293548387096774,77.06451612903226,1274074.57,54.29032258064516,79.0
1941-08-01,25.561290322580643,38.3,0.2739032258064516,27.648387096774194,67.70967741935483,1294959.76,64.35483870967742,47.0
1941-09-01,24.85666666666667,155.5,0.4017666666666667,26.653333333333332,76.6,1233790.73,57.06666666666667,211.0
1941-10-01,25.261290322580646,179.8,0.3989677419354839,27.238709677419354,76.41935483870968,1192222.1300000001,65.19354838709677,246.0
1941-11-01,24.290000000000003,378.2,0.4908,26.083333333333332,88.6,964805.78,92.06666666666666,361.0
